Date,Close,High,Low,Open,Volume
2021-04-06,13578.4599609375,13660.2900390625,13551.599609375,13567.2001953125,4073710000
2021-04-07,13616.7001953125,13648.7998046875,13532.6298828125,13553.900390625,4098740000
2021-04-08,13758.509765625,13763.1796875,13703.509765625,13730.73046875,4153600000
2021-04-09,13845.0595703125,13849.3095703125,13674.919921875,13709.669921875,3926110000
2021-04-12,13819.349609375,13839.3896484375,13747.6298828125,13792.740234375,4250900000
2021-04-13,13986.490234375,14002.5302734375,13874.580078125,13874.580078125,4219360000
2021-04-14,13803.91015625,13990.5400390625,13782.1796875,13988.8603515625,4120770000
2021-04-15,14026.1904296875,14040.1103515625,13931.009765625,13934.8701171875,4406880000
2021-04-16,14041.91015625,14050.3798828125,13966.5400390625,14035.9599609375,4427780000
2021-04-19,13907.669921875,14025.6396484375,13835.75,13970.830078125,4379610000
2021-04-20,13809.2998046875,13934.8896484375,13730.58984375,13891.9599609375,4245120000
2021-04-21,13935.150390625,13939.7001953125,13717.4404296875,13768.919921875,3999620000
2021-04-22,13762.3603515625,13954.0302734375,13716.759765625,13920.8798828125,4420820000
2021-04-23,13941.4404296875,13989.4296875,13789.4501953125,13794.490234375,4355100000
2021-04-26,14026.16015625,14039.400390625,13919.9296875,13954.9404296875,4506210000
2021-04-27,13960.2802734375,14048.33984375,13931.1796875,14048.1298828125,4691460000
2021-04-28,13901.6201171875,13992.080078125,13895.150390625,13953.6103515625,4559710000
2021-04-29,13970.2001953125,14073.48046875,13836.099609375,14063.9404296875,4928030000
2021-04-30,13860.759765625,13969.2099609375,13838.8203125,13857.7900390625,4792460000
2021-05-03,13799.7197265625,13955.0,13784.66015625,13923.0400390625,4761430000
2021-05-04,13544.669921875,13705.3798828125,13396.1103515625,13680.6298828125,5879730000
2021-05-05,13503.3701171875,13676.8603515625,13478.580078125,13649.1201171875,4535690000
2021-05-06,13613.73046875,13617.33984375,13403.4599609375,13490.9404296875,5021400000
2021-05-07,13719.6298828125,13814.650390625,13669.7802734375,13715.5595703125,4391100000
2021-05-10,13359.080078125,13648.490234375,13358.6201171875,13647.73046875,4818670000
2021-05-11,13351.26953125,13381.66015625,13094.759765625,13102.6396484375,4738390000
2021-05-12,13001.6298828125,13236.8896484375,12967.1796875,13155.0703125,4752930000
2021-05-13,13109.150390625,13226.6396484375,13006.76953125,13133.73046875,4698110000
2021-05-14,13393.1201171875,13430.0,13220.1904296875,13238.990234375,4022610000
2021-05-17,13312.91015625,13350.1396484375,13196.5703125,13329.8603515625,3997780000
2021-05-18,13217.6796875,13400.51953125,13212.849609375,13352.259765625,4301300000
2021-05-19,13237.91015625,13243.98046875,12994.349609375,12998.5302734375,4333520000
2021-05-20,13494.08984375,13526.009765625,13293.099609375,13294.58984375,3990760000
2021-05-21,13411.740234375,13573.83984375,13401.5302734375,13573.2197265625,3733940000
2021-05-24,13641.75,13687.6103515625,13500.1201171875,13504.3896484375,3509470000
2021-05-25,13657.73046875,13734.41015625,13614.5400390625,13701.2998046875,4128990000
2021-05-26,13702.740234375,13726.0595703125,13661.0595703125,13687.7099609375,4264500000
2021-05-27,13657.849609375,13724.759765625,13652.1298828125,13686.8603515625,5087180000
2021-05-28,13686.509765625,13765.7998046875,13684.830078125,13717.0,4447940000
2021-06-01,13654.58984375,13773.4501953125,13602.1201171875,13764.26953125,4186280000
2021-06-02,13675.7900390625,13712.6796875,13610.16015625,13655.7099609375,5097630000
2021-06-03,13529.6796875,13608.5400390625,13469.849609375,13568.91015625,5396250000
2021-06-04,13770.76953125,13784.76953125,13613.580078125,13619.7900390625,4360710000
2021-06-07,13802.8896484375,13808.419921875,13710.1103515625,13744.150390625,4639210000
2021-06-08,13810.8603515625,13913.400390625,13746.419921875,13873.4599609375,5958410000
2021-06-09,13814.9404296875,13900.7099609375,13811.0498046875,13865.509765625,5640490000
2021-06-10,13960.349609375,13962.98046875,13817.830078125,13834.259765625,4919880000
2021-06-11,13998.2998046875,13998.650390625,13934.0,13959.4697265625,4157580000
2021-06-14,14128.2001953125,14129.330078125,13963.9404296875,14002.1396484375,4415160000
2021-06-15,14030.41015625,14126.259765625,14008.9296875,14120.8095703125,4554580000
2021-06-16,13983.009765625,14100.1103515625,13843.599609375,14053.1201171875,4683030000
2021-06-17,14163.8095703125,14205.4296875,13946.51953125,13946.7001953125,4558280000
2021-06-18,14049.580078125,14140.6201171875,14024.599609375,14125.1201171875,6126070000
2021-06-21,14137.23046875,14150.91015625,13967.8896484375,14055.0400390625,4562010000
2021-06-22,14270.419921875,14288.490234375,14128.009765625,14140.2998046875,4433140000
2021-06-23,14274.240234375,14324.740234375,14247.580078125,14275.08984375,4417470000
2021-06-24,14365.9599609375,14429.1396484375,14337.650390625,14358.2998046875,4324620000
2021-06-25,14345.1796875,14401.7099609375,14324.259765625,14396.6298828125,7468090000
2021-06-28,14524.98046875,14530.0703125,14400.58984375,14401.6298828125,4283000000
2021-06-29,14572.75,14575.1904296875,14481.849609375,14523.6298828125,4901300000
